Social Security Number,First Name,Middle Name,Last Name,Suffix,Preferred Name,Display Name,Full Name,Gender,DOB,Age,Marital Status,Date of Marriage,U.S. Citizen,Visa Status,Veteran Status,Military Reserve Status,EEOC,Office,Class,Payroll Group,Division,Department,Business Unit,Benefit Work State,Payroll Work State,Cost Center,Is Collectively Bargained,Job Title,Manager,EEOC Category,Demographic Change Effective Date,Employee ID,Company Name,Payroll ID,Primary Payroll Identifier,Statutory Class,Time Clock ID,Employment Status,Hire Date,Affiliate Hire Date,Original Hire Date,Hired On,Retired,Retired Date,Termination Date,Termination Reason,Terminated On,Annual Review Date,Decision Maker,Is Exempt,Is Full Time,Future Termination Date,Primary Contact,Executive Contact,ACA Classification,Key Employee,Highly Compensated Employee,5%+ Owner,Works Outside U.S.,Leased Employee,Seasonal Employee,Address Type,Address 1,Address 2,Address 3,City,State,County,Zip,Country,Phone (Home),Phone (Personal Cell),Phone (Work/Office Number),Email (Primary),Tobacco User,Tobacco Date,On Wellness Program,Disabled,Medicare Eligible,Medicare Eligible Reason,Medicare Part A Effective Date,Medicare Part B Effective Date,Medicare Part D Effective Date,Height (feet),Height (inches),Weight,Pay Basis,Salary Effective Date,Annual Base Salary,Hourly Rate,Hours per Week,Annual Benefit Salary,Annual Benefit Salary Effective Date,Prior Year W2 Earnings,Salary Review Date,Next Salary Review Date,Pay Frequency,Override Pay Frequency,Ownership Percentage,Employee Compensation Billable,Time Off Package,Username,External Employee Id,HR User,Last Updated,Enrollment Completed,Dependent Sequence Number,
219-77-7783,Amy,,Adams,,,"Adams, Amy",Amy Adams,F,04/13/1994,25,Married,,Yes,,,,,Santa Rosa,Management,Management,,Administration,,,,,No,Office Manager,,,02/14/2018,1175400,Sample Company,,,,,Active,01/01/2017,,10/15/2014,08/12/2015,No,,,,,,Yes,Yes,No,,,,Eligible (Regularly works more than 30 hours a week),No,No,No,No,No,No,Home,100 Stony Point Rd.,Ste. 160,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,techteam@vantreo.com,No,,No,,No,,,,,,,,Salary,08/12/2015,"$78,500.00",,,,,,,,,,,No,,Amyadams,1175400,No,02/14/2018,10/04/2017,,
217-21-5090,Thomas,,Adams,,,"Adams, Thomas",Thomas Adams,M,08/20/1970,48,Single,,Yes,,,,,Santa Rosa,Management,Management,,Customer Service,,,,,No,Customer Service Manager,"Adams,Amy",,02/02/2008,1175402,Sample Company,,,,,Terminated,02/02/2008,,02/02/2008,08/12/2015,No,,11/09/2018,Voluntary Termination (18 months),11/06/2018,,No,Yes,Yes,,,,Eligible (Regularly works more than 30 hours a week),No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Thomas_Adams@SampleCo.com,No,,No,,,,,,,,,,Salary,02/02/2008,"$59,250.00",,,,,,,,,,,No,,,1175402,,11/06/2018,,,
217-22-1030,Mary,,Alverez,,,"Alverez, Mary",Mary Alverez,F,12/26/1975,43,Married,,Yes,,,,,San Francisco,Management,Management,,Customer Service,,,,,No,Customer Service Manager,"Adams,Amy",,04/10/2014,1175388,Sample Company,,,,,Terminated,04/10/2014,,04/10/2014,08/12/2015,No,,11/09/2018,Voluntary Termination (18 months),11/06/2018,,No,Yes,Yes,,,,Eligible (Regularly works more than 30 hours a week),No,No,No,No,No,No,Home,100 Mission St,,,San Francisco,CA,San Francisco County,94105,United States of America,(707) 546-2300,,,Mary_Alverez@SampleCo.com,No,,No,,,,,,,,,,Salary,04/10/2014,"$69,500.00",,,,,,,,,,,No,,,1175388,,11/06/2018,,,
219-77-7781,Seth,,Anderson,,,"Anderson, Seth",Seth Anderson,M,04/08/1990,29,Married,,Yes,,,,,San Francisco,Management,Management,,Administration,,,,,No,Office Manager,"Adams,Amy",,12/01/2014,1175398,Sample Company,,,,,Terminated,08/12/2015,,12/01/2014,08/12/2015,No,,10/22/2018,Voluntary Termination (18 months),10/22/2018,,No,Yes,Yes,,,,Eligible (Regularly works more than 30 hours a week),No,No,No,No,No,No,Home,100 Mission St,,,San Francisco,CA,San Francisco County,94105,United States of America,(707) 546-2300,,,Seth_Anderson@SampleCo.com,No,,No,,,,,,,,,,Salary,08/12/2015,"$83,250.00",,,,,,,,,,,No,,,1175398,,10/22/2018,,,
248-14-9991,Adela,,Antonoczyk,,,"Antonoczyk, Adela",Adela Antonoczyk,F,07/09/1995,23,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Terminated,04/29/2017,,,07/26/2017,,,01/22/2019,Involuntary Termination (18 Months),01/22/2019,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,aantonoczykm@wufoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516591,,01/22/2019,,,
219-22-2222,John,,Aqueduct,,,"Aqueduct, John",John Aqueduct,M,03/12/1993,26,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,04/15/2014,1175414,Sample Company,,,,,Active,04/15/2014,,04/15/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,John_Aqueduct@SampleCo.com,No,,No,,,,,,,,,,Hourly,04/15/2014,"$39,520.00",19.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175414,,06/27/2016,,,
212-77-7770,Alexandia,,Avenue,,,"Avenue, Alexandia",Alexandia Avenue,M,08/15/1967,51,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,05/05/2014,1175420,Sample Company,,,,,Active,05/05/2014,,05/05/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Alexandia_Avenue@SampleCo.com,No,,No,,,,,,,,,,Hourly,05/05/2014,"$27,040.00",13.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175420,,06/27/2016,,,
217-21-6080,Charlie,,Beebee,,,"Beebee, Charlie",Charlie Beebee,M,07/20/1985,33,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,08/02/2011,1175407,Sample Company,,,,,Active,08/02/2011,,08/02/2011,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Charlie_Beebee@SampleCo.com,No,,No,,,,,,,,,,Hourly,08/02/2011,"$35,360.00",17.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175407,,06/27/2016,,,
612-11-0189,Deana,,Blazic,,,"Blazic, Deana",Deana Blazic,F,07/04/1954,64,,,,,,,,,Full Time,Full Time,,,,,,,,,"Britner,Betta",,,,Sample Company,,,,,Active,09/16/2016,,,09/16/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,dblazic7@miitbeian.gov.cn,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516576,,01/23/2018,,,
378-20-8787,Betta,,Britner,,,"Britner, Betta",Betta Britner,F,03/31/1969,50,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,05/14/2017,,,07/26/2017,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,bbritnern@wordpress.org,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516592,,01/23/2018,,,
